matrix,P,A,S,C,L/S,L/A,L/P,A/P,gA,gP,GenSD,VulSD,mJP,mJA,maxJP,maxJA,NODFst,N_LowHigh,#A,#P,meandegA,maxdegA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,34,44,0.19118,1.4773,1.9118,6.5,3.4,0.7123,0.12839,2.2259,61.683,0.11078,0.473,0.42608,0.88725,0.87783,1,34,10,1.9118,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,36,47,0.33586,2.8298,3.6944,12.091,3.2727,0.36217,0.34269,7.9394,88.264,0.2264,0.26807,0.37125,0.6917,0.28283,1,36,11,3.6944,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,29,41,0.24138,2.0488,2.8966,7,2.4167,0.48591,0.15825,6.8082,38.688,0.21789,0.24021,0.37931,0.74056,0.5594,1,29,12,2.8966,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,37,47,0.3027,2.383,3.027,11.2,3.7,0.41637,0.35552,5.5946,58.507,0.20102,0.20306,0.35779,0.65714,0.079279,0,37,10,3.027,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,35,47,0.2381,2.1277,2.8571,8.3333,2.9167,0.50358,0.096352,6.8998,42.837,0.19749,0.1709,0.36006,0.68651,0.30292,1,35,12,2.8571,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,26,36,0.21538,1.5556,2.1538,5.6,2.6,0.6349,0.20389,4.1628,23.493,0.19798,0.20323,0.33595,0.76282,0.31318,1,26,10,2.1538,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,35,47,0.27381,2.4468,3.2857,9.5833,2.9167,0.46635,0.40807,8.8227,32.552,0.25349,0.15399,0.42057,0.66918,0.168,1,35,12,3.2857,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,36,45,0.2963,2.1333,2.6667,10.667,4,0.50181,0.07728,4.5075,74.857,0.18056,0.24302,0.32598,0.83247,0.31552,1,36,9,2.6667,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,11,23,0.18939,1.087,2.2727,2.0833,0.91667,0.34332,0.47993,7.4058,3.1355,0.48651,0.15,0.71389,0.57576,0.70975,1,11,12,2.2727,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,25,36,0.30182,2.3056,3.32,7.5455,2.2727,0.39398,0.28333,10.085,27.282,0.34152,0.19794,0.50177,0.69782,0.37024,1,25,11,3.32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,9,30,39,0.28889,2,2.6,8.6667,3.3333,0.47773,0.90234,6.8143,26,0.37845,0.1889,0.55688,0.8837,0.083067,0,30,9,2.6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9,35,44,0.28889,2.0682,2.6,10.111,3.8889,0.50573,0.26338,4.9733,63.837,0.21676,0.23255,0.35269,0.77361,0.28688,1,35,9,2.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9,36,45,0.32407,2.3333,2.9167,11.667,4,0.48051,0.29416,5.7652,50.18,0.24604,0.20339,0.38216,0.70952,0.078613,0,36,9,2.9167,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,33,43,0.23636,1.814,2.3636,7.8,3.3,0.56498,0.088467,3.8666,66.165,0.16539,0.38054,0.38434,0.86111,0.62278,1,33,10,2.3636,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
